Name,Address,URL,Latitude,Longitude
 INOX Cinemas (South City Mall),"  375, 2nd Floor, South City Mall, Prince Anwar Shah Road, Jodhpur Park, Kolkata - 700068    ",https://www.justdial.com/Kolkata/INOX-Cinemas-(South-City-Mall)-Jodhpur-Park/033P45965_BZDET?xid=S29sa2F0YSBJTk9YIENpbmVtYXM=,22.501436,88.3617307
 INOX Cinemas,"  89 C, Moulana Abul Kalam Azad Sarani, Kankurgachi, Kolkata - 700054, Near Swabhumi    ",https://www.justdial.com/Kolkata/INOX-Cinemas-Near-Swabhumi-Kankurgachi/033PGE01089_BZDET?xid=S29sa2F0YSBJTk9YIENpbmVtYXM=,22.5711126,88.4011942
 INOX Cinemas (Forum Courtyard),"  10/3, 5th Floor, Forum Courtyard, Elgin Road, Lala Lajpat Rai Sarani, Kolkata - 700020    ",https://www.justdial.com/Kolkata/INOX-Cinemas-(Forum-Courtyard)-Lala-Lajpat-Rai-Sarani/033P5000262_BZDET?xid=S29sa2F0YSBJTk9YIENpbmVtYXM=,22.53845,88.351345
 INOX Cinema,"  76, Ganesh Chandra Avenue, Dharmatala, Kolkata - 700013, Near Chandni Chawk Metro Station    ",https://www.justdial.com/Kolkata/INOX-Cinema-Near-Chandni-Chawk-Metro-Station-Dharmatala/033P9169_BZDET?xid=S29sa2F0YSBJTk9YIENpbmVtYXM=,22.5648747,88.3590781
